,train accuracy,test accuracy
0,0.31809523701667786,0.2948571443557739
1,0.2464761883020401,0.22171428799629211
2,0.3104761838912964,0.3051428496837616
3,0.2133333384990692,0.21371428668498993
4,0.313142865896225,0.3199999928474426
5,0.3584761917591095,0.3497142791748047
6,0.3672381043434143,0.34628570079803467
7,0.3059047758579254,0.26742857694625854
8,0.2099047601222992,0.22057142853736877
9,0.20609523355960846,0.22171428799629211
10,0.33752381801605225,0.34857141971588135
11,0.23580951988697052,0.23657143115997314
12,0.23695237934589386,0.22285714745521545
13,0.27314284443855286,0.26171427965164185
14,0.22895237803459167,0.23771429061889648
15,0.41028571128845215,0.4091428518295288
16,0.3980952501296997,0.39085713028907776
17,0.34019047021865845,0.3451428711414337
18,0.20800000429153442,0.20228570699691772
19,0.2910476326942444,0.3051428496837616
20,0.31238093972206116,0.32342857122421265
21,0.2407619059085846,0.24457143247127533
22,0.26514285802841187,0.28685712814331055
23,0.36838096380233765,0.3691428601741791
24,0.3565714359283447,0.3337142765522003
25,0.2883809506893158,0.30628570914268494
26,0.3927619159221649,0.38514286279678345
27,0.347428560256958,0.33142855763435364
28,0.3550476133823395,0.33142855763435364
29,0.3535238206386566,0.34285715222358704
30,0.2685714364051819,0.27885714173316956
31,0.23390476405620575,0.2571428716182709
32,0.32380953431129456,0.3302857279777527
33,0.37066665291786194,0.3440000116825104
34,0.26438096165657043,0.2582857012748718
35,0.27504763007164,0.2937142848968506
36,0.380952388048172,0.3919999897480011
37,0.2125714272260666,0.23314285278320312
38,0.2659047544002533,0.2857142984867096
39,0.2887619137763977,0.2879999876022339
40,0.24152380228042603,0.2491428554058075
41,0.37638095021247864,0.38285714387893677
42,0.29219046235084534,0.29028570652008057
43,0.42971429228782654,0.4205714166164398
44,0.2971428632736206,0.27314284443855286
45,0.41257143020629883,0.4091428518295288
46,0.2860952317714691,0.3051428496837616
47,0.39923810958862305,0.4057142734527588
48,0.1988571435213089,0.19200000166893005
49,0.3161904811859131,0.30971428751945496
